Item,Description,Quantity,Unit Price (CAD$),Total Price (CAD$),Unit Price (USD$),Total Price (USD$),URL,Running total (CAD$ with tax),Running total (USD$ with tax)
102050 1000mAh LiPO Battery,20mm*50mm*10mm 3.7v Lithium battery. 2Pack,1,$12.38,$12.38,$8.90,$8.90,Battery,12.38$,8.90$
Gateron Switches 50 Pack,50 Gateron Auburn Switches,1,$22.71,$22.71,$16.33,$16.33,Switches,35.09$,25.23$
XIAO nRF52840,XIAO 2 pack microcontroller,1,$47.72,$47.72,$34.31,$34.31,XIAO,82.81$,59.54$
Gateron Hotswap Sockets,70pack of Gateron hotswap sockets,1,$22.64,$22.64,$16.28,$16.28,Hotswap Sockets,105.45$,75.81$
PCB,5 PCB's ordered from JLCPCB,1,$58.41,$58.41,$41.99,$41.99,N/A,163.86$,117.81$
1N5189 Diodes,100 pieces,1,$3.05,$3.05,$2.19,$2.19,DIODE,166.91$,120.00$
Keycaps,Already have,,,,,,,,
